id,age,workclass_id,education_level_id,education_num,marital_status_id,occupation_id,race_id,sex_id,capital_gain,capital_loss,hours_week,country_id,workclass,education_level,marital_status,occupation,race,sex,country,over_50k
34513,42,5,12,9,3,4,5,2,2885,0,40,40,Private,HS-grad,Married-civ-spouse,Craft-repair,White,Male,United-States,0
43551,51,5,16,10,1,9,5,1,0,0,40,40,Private,Some-college,Divorced,Other-service,White,Female,United-States,0
4380,17,3,2,7,5,13,5,2,0,0,20,40,Local-gov,11th,Never-married,Sales,White,Male,United-States,0
13842,44,2,15,15,1,11,5,2,0,0,40,40,Federal-gov,Prof-school,Divorced,Prof-specialty,White,Male,United-States,1
19596,51,5,10,13,3,2,5,1,7688,0,20,40,Private,Bachelors,Married-civ-spouse,Adm-clerical,White,Female,United-States,1
47850,48,5,16,10,3,4,5,2,0,0,50,40,Private,Some-college,Married-civ-spouse,Craft-repair,White,Male,United-States,0
33327,17,1,2,7,5,1,5,2,0,0,40,40,?,11th,Never-married,?,White,Male,United-States,0
18624,35,5,9,11,5,2,5,1,14344,0,40,40,Private,Assoc-voc,Never-married,Adm-clerical,White,Female,United-States,1
47860,41,5,12,9,3,7,5,2,7688,0,40,40,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,White,Male,United-States,1
1102,45,6,10,13,3,8,5,2,0,0,60,40,Self-emp-inc,Bachelors,Married-civ-spouse,Machine-op-inspct,White,Male,United-States,1
45515,54,5,12,9,5,2,5,1,2174,0,40,40,Private,HS-grad,Never-married,Adm-clerical,White,Female,United-States,0
18333,42,3,10,13,3,11,5,2,0,0,60,40,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,United-States,1
7021,28,3,12,9,3,12,5,2,0,0,40,40,Local-gov,HS-grad,Married-civ-spouse,Protective-serv,White,Male,United-States,0
11500,76,5,6,4,7,9,5,1,0,0,25,40,Private,7th-8th,Widowed,Other-service,White,Female,United-States,0
11668,24,5,12,9,5,2,5,2,0,0,60,40,Private,HS-grad,Never-married,Adm-clerical,White,Male,United-States,0
36195,19,8,16,10,5,9,5,1,0,0,12,40,State-gov,Some-college,Never-married,Other-service,White,Female,United-States,0
4436,40,1,16,10,1,1,5,1,0,0,30,40,?,Some-college,Divorced,?,White,Female,United-States,0
5089,25,7,12,9,3,4,5,2,7298,0,40,40,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,White,Male,United-States,1
33236,28,5,1,6,5,8,5,1,0,0,40,40,Private,10th,Never-married,Machine-op-inspct,White,Female,United-States,0
10345,33,7,5,3,3,4,5,2,0,0,50,40,Self-emp-not-inc,5th-6th,Married-civ-spouse,Craft-repair,White,Male,United-States,1
1975,33,5,12,9,3,13,5,2,0,0,20,40,Private,HS-grad,Married-civ-spouse,Sales,White,Male,United-States,0
30517,37,5,3,8,1,4,5,2,0,0,35,40,Private,12th,Divorced,Craft-repair,White,Male,United-States,0
22134,56,2,16,10,1,2,3,1,0,0,40,40,Federal-gov,Some-college,Divorced,Adm-clerical,Black,Female,United-States,0
25490,29,5,12,9,5,9,3,1,0,0,25,40,Private,HS-grad,Never-married,Other-service,Black,Female,United-States,0
31132,17,5,2,7,5,13,5,2,0,0,5,40,Private,11th,Never-married,Sales,White,Male,United-States,0
38303,21,5,16,10,5,11,5,1,0,0,40,40,Private,Some-college,Never-married,Prof-specialty,White,Female,United-States,0
38953,47,6,12,9,3,4,5,2,0,0,60,40,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,White,Male,United-States,1
42472,34,5,12,9,5,8,5,2,0,0,40,40,Private,HS-grad,Never-married,Machine-op-inspct,White,Male,United-States,0
43666,50,5,16,10,7,5,2,1,0,0,40,40,Private,Some-college,Widowed,Exec-managerial,Asian-Pac-Islander,Female,United-States,0
21253,32,7,10,13,1,11,5,2,0,0,35,40,Self-emp-not-inc,Bachelors,Divorced,Prof-specialty,White,Male,United-States,1
1551,23,5,12,9,5,2,5,1,0,0,40,40,Private,HS-grad,Never-married,Adm-clerical,White,Female,United-States,0
32933,41,5,6,4,6,4,5,2,0,0,40,27,Private,7th-8th,Separated,Craft-repair,White,Male,Mexico,0
19780,34,5,16,10,5,5,5,1,0,0,40,40,Private,Some-college,Never-married,Exec-managerial,White,Female,United-States,0
23107,54,6,12,9,3,5,5,2,0,0,98,40,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,United-States,1
47346,76,5,12,9,5,2,5,1,0,0,40,40,Private,HS-grad,Never-married,Adm-clerical,White,Female,United-States,0
6809,33,3,10,13,3,11,5,2,0,0,50,40,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,United-States,0
38267,36,6,13,14,3,14,5,2,0,1887,40,40,Self-emp-inc,Masters,Married-civ-spouse,Tech-support,White,Male,United-States,1
28587,25,1,5,3,5,1,5,1,0,0,25,9,?,5th-6th,Never-married,?,White,Female,El-Salvador,0
33542,66,7,10,13,3,11,5,2,0,0,20,40,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,United-States,1
1508,42,5,12,9,3,13,5,2,0,0,50,40,Private,HS-grad,Married-civ-spouse,Sales,White,Male,United-States,0
36356,33,5,2,7,3,4,5,2,0,0,49,40,Private,11th,Married-civ-spouse,Craft-repair,White,Male,United-States,0
38601,20,5,16,10,5,2,5,1,0,0,35,40,Private,Some-college,Never-married,Adm-clerical,White,Female,United-States,0
47900,33,3,16,10,3,2,5,1,0,0,40,40,Local-gov,Some-college,Married-civ-spouse,Adm-clerical,White,Female,United-States,0
22644,57,5,16,10,3,5,5,2,7688,0,45,40,Private,Some-college,Married-civ-spouse,Exec-managerial,White,Male,United-States,1
34052,44,7,16,10,3,4,5,2,0,0,50,40,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,White,Male,United-States,0
36187,39,7,9,11,3,15,5,2,0,0,70,40,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Transport-moving,White,Male,United-States,1
29401,36,6,12,9,5,9,5,1,0,0,70,40,Self-emp-inc,HS-grad,Never-married,Other-service,White,Female,United-States,0
18693,20,5,12,9,5,8,5,1,0,0,45,40,Private,HS-grad,Never-married,Machine-op-inspct,White,Female,United-States,0
38795,37,5,16,10,7,8,5,2,0,0,40,1,Private,Some-college,Widowed,Machine-op-inspct,White,Male,?,0
36287,20,1,3,8,5,1,3,2,0,0,40,40,?,12th,Never-married,?,Black,Male,United-States,0
24584,45,5,12,9,5,8,5,1,0,0,40,3,Private,HS-grad,Never-married,Machine-op-inspct,White,Female,Canada,0
43887,30,7,12,9,5,4,5,2,0,0,40,40,Self-emp-not-inc,HS-grad,Never-married,Craft-repair,White,Male,United-States,0
44604,33,3,12,9,3,4,5,2,0,0,50,40,Local-gov,HS-grad,Married-civ-spouse,Craft-repair,White,Male,United-States,1
45804,25,5,9,11,3,6,5,2,0,0,35,40,Private,Assoc-voc,Married-civ-spouse,Farming-fishing,White,Male,United-States,0
36747,34,5,12,9,3,13,3,1,0,0,40,40,Private,HS-grad,Married-civ-spouse,Sales,Black,Female,United-States,0
43923,29,5,10,13,5,5,5,2,0,0,40,40,Private,Bachelors,Never-married,Exec-managerial,White,Male,United-States,0
3647,39,5,12,9,3,13,5,1,0,0,36,40,Private,HS-grad,Married-civ-spouse,Sales,White,Female,United-States,0
22352,33,3,10,13,4,11,3,2,0,0,40,1,Local-gov,Bachelors,Married-spouse-absent,Prof-specialty,Black,Male,?,0
29240,48,5,6,4,3,8,5,2,0,0,40,40,Private,7th-8th,Married-civ-spouse,Machine-op-inspct,White,Male,United-States,1
3335,26,5,12,9,5,7,3,2,0,0,40,40,Private,HS-grad,Never-married,Handlers-cleaners,Black,Male,United-States,0
44927,23,5,16,10,5,5,5,2,0,0,40,40,Private,Some-college,Never-married,Exec-managerial,White,Male,United-States,0
25754,32,5,16,10,5,4,5,2,0,0,72,27,Private,Some-college,Never-married,Craft-repair,White,Male,Mexico,0
27560,49,5,6,4,1,4,5,2,0,0,70,40,Private,7th-8th,Divorced,Craft-repair,White,Male,United-States,0
727,44,5,12,9,3,13,5,1,0,0,40,40,Private,HS-grad,Married-civ-spouse,Sales,White,Female,United-States,0
33980,55,6,11,16,3,11,5,2,0,2179,60,40,Self-emp-inc,Doctorate,Married-civ-spouse,Prof-specialty,White,Male,United-States,0
6826,32,5,12,9,3,11,5,2,0,0,50,40,Private,HS-grad,Married-civ-spouse,Prof-specialty,White,Male,United-States,0
9044,21,5,16,10,5,10,5,1,0,0,40,40,Private,Some-college,Never-married,Priv-house-serv,White,Female,United-States,0
47628,31,8,16,10,5,5,5,2,0,0,40,40,State-gov,Some-college,Never-married,Exec-managerial,White,Male,United-States,0
24200,59,5,13,14,7,5,5,1,0,0,40,40,Private,Masters,Widowed,Exec-managerial,White,Female,United-States,1
40948,36,5,16,10,5,5,5,1,0,0,50,40,Private,Some-college,Never-married,Exec-managerial,White,Female,United-States,0
4820,56,5,8,12,1,2,5,1,4101,0,40,40,Private,Assoc-acdm,Divorced,Adm-clerical,White,Female,United-States,0
8476,47,5,12,9,1,5,5,1,0,0,45,40,Private,HS-grad,Divorced,Exec-managerial,White,Female,United-States,0
47283,22,1,16,10,5,1,5,2,0,0,36,40,?,Some-college,Never-married,?,White,Male,United-States,0
4906,43,5,12,9,3,5,5,1,0,0,36,33,Private,HS-grad,Married-civ-spouse,Exec-managerial,White,Female,Portugal,1
30616,29,1,16,10,1,1,5,1,0,0,40,40,?,Some-college,Divorced,?,White,Female,United-States,0
38808,32,5,12,9,1,2,5,1,0,0,38,40,Private,HS-grad,Divorced,Adm-clerical,White,Female,United-States,1
738,43,8,10,13,3,11,5,2,0,0,50,40,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,United-States,0
24443,54,5,10,13,3,13,5,2,0,0,40,40,Private,Bachelors,Married-civ-spouse,Sales,White,Male,United-States,1
40891,40,7,13,14,3,13,5,2,0,0,60,40,Self-emp-not-inc,Masters,Married-civ-spouse,Sales,White,Male,United-States,0
1654,34,3,12,9,3,12,5,2,0,0,40,40,Local-gov,HS-grad,Married-civ-spouse,Protective-serv,White,Male,United-States,0
24241,62,5,6,4,1,14,5,1,0,0,38,5,Private,7th-8th,Divorced,Tech-support,White,Female,Columbia,0
40109,80,5,12,9,7,9,3,2,0,0,15,40,Private,HS-grad,Widowed,Other-service,Black,Male,United-States,0
46264,18,5,12,9,5,5,5,1,0,0,35,40,Private,HS-grad,Never-married,Exec-managerial,White,Female,United-States,0
44998,30,5,12,9,3,11,5,2,0,0,50,40,Private,HS-grad,Married-civ-spouse,Prof-specialty,White,Male,United-States,0
4350,53,5,13,14,3,5,5,2,15024,0,65,40,Private,Masters,Married-civ-spouse,Exec-managerial,White,Male,United-States,1
33938,33,3,16,10,3,12,5,2,0,0,50,40,Local-gov,Some-college,Married-civ-spouse,Protective-serv,White,Male,United-States,1
36313,29,8,10,13,5,11,2,1,0,0,15,40,State-gov,Bachelors,Never-married,Prof-specialty,Asian-Pac-Islander,Female,United-States,0
21222,47,7,16,10,1,9,5,1,0,0,45,40,Self-emp-not-inc,Some-college,Divorced,Other-service,White,Female,United-States,0
12225,37,3,13,14,3,12,5,2,7688,0,50,40,Local-gov,Masters,Married-civ-spouse,Protective-serv,White,Male,United-States,1
13843,41,5,9,11,5,11,5,1,0,0,45,40,Private,Assoc-voc,Never-married,Prof-specialty,White,Female,United-States,0
21498,46,5,12,9,3,8,5,2,0,0,43,40,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Male,United-States,1
37888,35,6,8,12,5,6,5,2,0,0,50,40,Self-emp-inc,Assoc-acdm,Never-married,Farming-fishing,White,Male,United-States,0
5526,34,5,10,13,5,5,2,1,0,0,40,31,Private,Bachelors,Never-married,Exec-managerial,Asian-Pac-Islander,Female,Philippines,0
32262,30,5,12,9,5,13,5,2,0,0,40,40,Private,HS-grad,Never-married,Sales,White,Male,United-States,0
39824,58,7,1,6,3,4,5,2,2407,0,25,40,Self-emp-not-inc,10th,Married-civ-spouse,Craft-repair,White,Male,United-States,0
25945,28,5,16,10,5,7,5,2,0,0,40,40,Private,Some-college,Never-married,Handlers-cleaners,White,Male,United-States,0
45167,38,5,16,10,3,4,5,2,3103,0,40,40,Private,Some-college,Married-civ-spouse,Craft-repair,White,Male,United-States,1
39210,20,1,16,10,5,1,5,2,0,0,40,40,?,Some-college,Never-married,?,White,Male,United-States,0
22435,45,5,13,14,1,11,5,2,0,0,40,40,Private,Masters,Divorced,Prof-specialty,White,Male,United-States,0
38906,30,5,10,13,3,11,5,2,0,0,40,40,Private,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,United-States,1
40984,19,3,16,10,5,13,5,1,0,0,20,40,Local-gov,Some-college,Never-married,Sales,White,Female,United-States,0
29686,45,5,4,2,3,8,5,2,0,0,40,27,Private,1st-4th,Married-civ-spouse,Machine-op-inspct,White,Male,Mexico,0
41113,21,7,7,5,5,13,5,2,0,0,30,40,Self-emp-not-inc,9th,Never-married,Sales,White,Male,United-States,0
41599,33,5,3,8,3,8,5,2,0,0,40,40,Private,12th,Married-civ-spouse,Machine-op-inspct,White,Male,United-States,0
6093,55,5,7,5,3,14,5,1,0,0,23,40,Private,9th,Married-civ-spouse,Tech-support,White,Female,United-States,0
40998,53,3,10,13,3,11,3,2,0,0,40,40,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Black,Male,United-States,1
28724,37,5,13,14,3,5,5,2,0,0,40,40,Private,Masters,Married-civ-spouse,Exec-managerial,White,Male,United-States,1
43156,39,5,16,10,3,5,5,2,0,0,50,40,Private,Some-college,Married-civ-spouse,Exec-managerial,White,Male,United-States,1
9724,52,5,8,12,3,14,5,2,0,0,40,40,Private,Assoc-acdm,Married-civ-spouse,Tech-support,White,Male,United-States,1
11271,25,5,8,12,5,14,5,1,0,2001,30,40,Private,Assoc-acdm,Never-married,Tech-support,White,Female,United-States,0
40546,41,5,10,13,3,5,5,2,0,1887,50,40,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,United-States,1
48122,35,2,12,9,3,9,5,1,7298,0,40,40,Federal-gov,HS-grad,Married-civ-spouse,Other-service,White,Female,United-States,1
7594,60,8,10,13,1,11,5,1,0,2339,40,40,State-gov,Bachelors,Divorced,Prof-specialty,White,Female,United-States,0
40370,38,5,12,9,3,4,5,2,0,0,60,40,Private,HS-grad,Married-civ-spouse,Craft-repair,White,Male,United-States,1
34007,25,5,12,9,5,13,5,1,0,0,35,40,Private,HS-grad,Never-married,Sales,White,Female,United-States,0
33036,21,5,16,10,5,9,5,2,2907,0,40,40,Private,Some-college,Never-married,Other-service,White,Male,United-States,0
39804,60,5,12,9,3,15,5,2,0,0,50,40,Private,HS-grad,Married-civ-spouse,Transport-moving,White,Male,United-States,0
8396,21,5,12,9,5,13,5,1,0,0,33,40,Private,HS-grad,Never-married,Sales,White,Female,United-States,0
29732,21,5,16,10,5,2,5,1,0,1721,35,40,Private,Some-college,Never-married,Adm-clerical,White,Female,United-States,0
2379,25,5,16,10,6,2,5,1,0,0,40,40,Private,Some-college,Separated,Adm-clerical,White,Female,United-States,0
24,43,5,2,7,3,15,5,2,0,2042,40,40,Private,11th,Married-civ-spouse,Transport-moving,White,Male,United-States,0
31615,49,5,11,16,3,13,5,2,0,0,60,40,Private,Doctorate,Married-civ-spouse,Sales,White,Male,United-States,0
47948,57,5,16,10,3,4,5,2,0,0,40,40,Private,Some-college,Married-civ-spouse,Craft-repair,White,Male,United-States,0
1494,53,8,12,9,3,2,5,2,15024,0,35,40,State-gov,HS-grad,Married-civ-spouse,Adm-clerical,White,Male,United-States,1
35758,70,5,16,10,5,2,5,1,0,0,16,40,Private,Some-college,Never-married,Adm-clerical,White,Female,United-States,0
8203,36,5,10,13,3,11,5,2,0,0,55,40,Private,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,United-States,0
31789,52,3,10,13,3,12,5,2,0,0,40,40,Local-gov,Bachelors,Married-civ-spouse,Protective-serv,White,Male,United-States,1
11297,24,5,2,7,3,13,5,2,0,0,40,40,Private,11th,Married-civ-spouse,Sales,White,Male,United-States,0
24652,42,5,16,10,3,14,5,2,0,0,40,40,Private,Some-college,Married-civ-spouse,Tech-support,White,Male,United-States,1
20234,51,5,16,10,6,5,3,1,0,0,40,40,Private,Some-college,Separated,Exec-managerial,Black,Female,United-States,0
27615,63,7,15,15,3,11,5,2,0,0,30,40,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,White,Male,United-States,0
5333,23,5,12,9,5,7,5,2,0,0,25,40,Private,HS-grad,Never-married,Handlers-cleaners,White,Male,United-States,0
1622,44,7,12,9,3,5,5,2,0,1977,45,40,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,United-States,1
16664,35,5,10,13,3,13,5,2,0,0,40,40,Private,Bachelors,Married-civ-spouse,Sales,White,Male,United-States,1
36808,23,5,16,10,5,11,5,1,0,0,50,25,Private,Some-college,Never-married,Prof-specialty,White,Female,Japan,0
16884,29,5,12,9,5,4,5,1,0,0,42,40,Private,HS-grad,Never-married,Craft-repair,White,Female,United-States,0
14561,33,5,12,9,3,5,5,2,7298,0,45,40,Private,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,United-States,1
12017,45,6,12,9,3,9,5,2,0,0,40,40,Self-emp-inc,HS-grad,Married-civ-spouse,Other-service,White,Male,United-States,1
33129,25,7,10,13,5,13,5,1,0,0,40,40,Self-emp-not-inc,Bachelors,Never-married,Sales,White,Female,United-States,0
33900,20,1,16,10,5,1,5,2,0,0,30,40,?,Some-college,Never-married,?,White,Male,United-States,0
15924,42,5,16,10,3,14,5,2,0,0,50,40,Private,Some-college,Married-civ-spouse,Tech-support,White,Male,United-States,1
14579,26,1,10,13,5,1,5,2,0,0,44,40,?,Bachelors,Never-married,?,White,Male,United-States,0
36975,44,8,10,13,5,6,5,2,0,0,40,40,State-gov,Bachelors,Never-married,Farming-fishing,White,Male,United-States,0
18628,62,5,7,5,3,5,5,2,0,0,40,40,Private,9th,Married-civ-spouse,Exec-managerial,White,Male,United-States,0
19217,69,5,12,9,3,15,5,2,0,0,40,40,Private,HS-grad,Married-civ-spouse,Transport-moving,White,Male,United-States,0
45482,27,8,12,9,3,12,5,2,0,0,60,40,State-gov,HS-grad,Married-civ-spouse,Protective-serv,White,Male,United-States,0
7128,25,5,8,12,5,13,5,2,0,0,48,40,Private,Assoc-acdm,Never-married,Sales,White,Male,United-States,0
978,40,8,13,14,3,11,5,2,0,0,35,40,State-gov,Masters,Married-civ-spouse,Prof-specialty,White,Male,United-States,1
10399,43,5,12,9,1,7,5,2,594,0,16,40,Private,HS-grad,Divorced,Handlers-cleaners,White,Male,United-States,0
11406,17,5,1,6,5,9,5,2,0,0,15,40,Private,10th,Never-married,Other-service,White,Male,United-States,0
43842,22,5,16,10,5,13,5,2,0,0,25,40,Private,Some-college,Never-married,Sales,White,Male,United-States,0
21760,23,5,12,9,5,9,5,1,0,0,40,40,Private,HS-grad,Never-married,Other-service,White,Female,United-States,0
7515,25,5,2,7,5,7,5,2,0,0,40,40,Private,11th,Never-married,Handlers-cleaners,White,Male,United-States,0
6412,49,7,12,9,3,4,5,2,0,0,60,40,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,White,Male,United-States,0
37964,50,3,13,14,3,11,5,2,0,0,40,40,Local-gov,Masters,Married-civ-spouse,Prof-specialty,White,Male,United-States,0
8571,45,5,12,9,3,4,5,2,0,0,40,40,Private,HS-grad,Married-civ-spouse,Craft-repair,White,Male,United-States,0
16675,21,5,16,10,5,13,5,2,0,0,40,40,Private,Some-college,Never-married,Sales,White,Male,United-States,0
33892,29,5,10,13,3,11,5,2,5178,0,45,40,Private,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,United-States,1
6559,21,1,16,10,5,1,5,1,0,0,40,40,?,Some-college,Never-married,?,White,Female,United-States,0
24388,38,5,12,9,3,8,5,2,0,0,40,40,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Male,United-States,0
24081,40,5,16,10,5,2,3,1,0,0,40,40,Private,Some-college,Never-married,Adm-clerical,Black,Female,United-States,0
4862,48,5,12,9,5,8,5,2,0,0,40,7,Private,HS-grad,Never-married,Machine-op-inspct,White,Male,Dominican-Republic,0
28733,59,5,12,9,3,8,5,1,0,0,40,23,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Female,Italy,1
34248,30,5,13,14,1,11,5,2,0,1726,40,40,Private,Masters,Divorced,Prof-specialty,White,Male,United-States,0
21309,18,5,3,8,5,9,5,1,0,0,20,40,Private,12th,Never-married,Other-service,White,Female,United-States,0
8395,41,7,12,9,3,5,5,2,0,0,40,40,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,United-States,1
28629,36,7,11,16,3,11,5,2,0,0,45,1,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,White,Male,?,1
36043,41,5,12,9,5,13,5,1,0,0,40,40,Private,HS-grad,Never-married,Sales,White,Female,United-States,0
32963,26,5,8,12,5,14,5,1,0,0,20,40,Private,Assoc-acdm,Never-married,Tech-support,White,Female,United-States,0
17713,39,5,12,9,3,7,5,2,0,0,40,40,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,White,Male,United-States,0
16973,34,8,12,9,6,2,5,1,0,0,20,40,State-gov,HS-grad,Separated,Adm-clerical,White,Female,United-States,0
14030,25,8,16,10,5,7,5,2,0,0,40,40,State-gov,Some-college,Never-married,Handlers-cleaners,White,Male,United-States,0
31834,39,3,9,11,3,2,5,1,0,0,37,40,Local-gov,Assoc-voc,Married-civ-spouse,Adm-clerical,White,Female,United-States,0
25254,39,5,16,10,1,13,5,2,0,1380,70,40,Private,Some-college,Divorced,Sales,White,Male,United-States,0
36932,46,3,16,10,3,7,5,2,0,0,40,40,Local-gov,Some-college,Married-civ-spouse,Handlers-cleaners,White,Male,United-States,0
34174,20,1,16,10,5,1,2,1,0,0,40,40,?,Some-college,Never-married,?,Asian-Pac-Islander,Female,United-States,0
22277,39,5,16,10,1,5,5,2,0,0,50,40,Private,Some-college,Divorced,Exec-managerial,White,Male,United-States,1
15386,32,5,12,9,3,4,5,2,0,0,48,40,Private,HS-grad,Married-civ-spouse,Craft-repair,White,Male,United-States,0
29646,22,5,2,7,3,2,5,1,0,0,20,40,Private,11th,Married-civ-spouse,Adm-clerical,White,Female,United-States,0
40276,30,5,8,12,5,11,5,1,0,0,53,40,Private,Assoc-acdm,Never-married,Prof-specialty,White,Female,United-States,0
46586,60,5,1,6,6,9,5,1,0,0,40,40,Private,10th,Separated,Other-service,White,Female,United-States,0
19574,22,5,16,10,5,2,3,1,0,0,25,40,Private,Some-college,Never-married,Adm-clerical,Black,Female,United-States,0
17605,38,7,12,9,3,4,5,2,0,0,40,40,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,White,Male,United-States,1
29985,31,8,13,14,5,14,5,2,0,0,40,40,State-gov,Masters,Never-married,Tech-support,White,Male,United-States,0
14097,53,5,13,14,3,5,5,2,0,1977,55,40,Private,Masters,Married-civ-spouse,Exec-managerial,White,Male,United-States,1
28415,26,5,7,5,5,9,5,2,0,0,35,40,Private,9th,Never-married,Other-service,White,Male,United-States,0
8906,26,5,12,9,1,2,5,1,0,0,50,40,Private,HS-grad,Divorced,Adm-clerical,White,Female,United-States,0
6738,42,5,12,9,3,9,5,2,0,0,40,1,Private,HS-grad,Married-civ-spouse,Other-service,White,Male,?,0
3856,30,5,12,9,5,13,5,1,0,0,40,40,Private,HS-grad,Never-married,Sales,White,Female,United-States,0
30600,21,5,12,9,5,15,5,1,0,0,40,40,Private,HS-grad,Never-married,Transport-moving,White,Female,United-States,0
21225,58,6,10,13,3,11,5,2,0,0,60,40,Self-emp-inc,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,United-States,1
30407,28,5,2,7,1,9,5,1,0,0,40,40,Private,11th,Divorced,Other-service,White,Female,United-States,0
48285,18,5,12,9,5,13,5,2,0,0,64,40,Private,HS-grad,Never-married,Sales,White,Male,United-States,0
6387,37,5,3,8,5,9,5,1,0,0,40,40,Private,12th,Never-married,Other-service,White,Female,United-States,0
17827,39,5,16,10,5,9,3,1,0,2205,40,40,Private,Some-college,Never-married,Other-service,Black,Female,United-States,0
36328,42,5,10,13,3,5,5,2,0,0,40,40,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,United-States,0
46065,17,5,1,6,4,9,5,2,0,0,40,40,Private,10th,Married-spouse-absent,Other-service,White,Male,United-States,0
